node,lon,lat,depth
6222,-91.816161,30.943519,-11.639688
8192,-91.010448,30.123478,-5.997775
8399,-91.699340,30.957403,-11.755522
12555,-91.831161,30.797739,-8.567946
22230,-91.738458,30.610766,-7.150759
30502,-90.684350,30.052297,-2.877026
49846,-91.530360,30.373624,-2.583419
52981,-91.533991,30.244705,-4.304550
59795,-90.433823,30.006238,-1.057470
68149,-87.910629,31.443635,-5.051910
70403,-90.384079,30.098309,2.689904
74376,-95.170573,29.889086,-14.727100
83284,-91.432015,29.974929,0.119907
92538,-94.781864,30.096663,-5.994420
116150,-89.702522,30.440992,-5.245408
117244,-87.973349,30.918313,-3.887060
117466,-90.632239,29.834019,-0.238544
122214,-90.443808,29.948869,-0.294053
142941,-89.702946,30.346158,-2.917406
150154,-94.704892,29.782498,-0.926304
161892,-96.643690,28.581880,-0.411787
175216,-89.272841,30.404203,-21.510290
179240,-96.780521,28.475019,-0.740751
196964,-89.738024,30.168290,5.213180
220036,-96.517236,28.566529,2.886950
225896,-97.424025,26.320865,-2.175800
233993,-97.386240,27.695482,-7.092510
237353,-95.027780,29.386961,-4.456340
247019,-96.458362,28.558482,3.416030
259332,-97.170519,27.965732,-1.890340
259917,-96.421160,28.564750,3.700950
272631,-97.095836,28.023846,-4.360630
302075,-97.405016,26.614278,0.641194
313910,-82.960769,29.636033,-2.836030
325927,-90.311408,29.639134,-0.339225
335811,-95.919796,28.723826,-1.006080
369944,-83.021003,29.587688,-7.446590
381971,-97.301711,26.500138,0.641992
408102,-96.139886,28.567282,2.543980
432772,-82.691131,29.185417,-2.798370
442009,-82.608307,28.986922,-7.900740
444614,-97.245178,27.501113,9.392610
444617,-97.265529,27.447807,11.046200
447624,-86.010599,30.428450,-7.452210
465456,-85.546951,30.107862,5.847870
472064,-95.605367,28.771425,3.217220
493089,-92.266267,29.694555,-0.690523
508797,-84.684841,29.818694,3.822900
527784,-88.539471,30.280055,4.525220
529518,-85.203442,29.725100,-2.844650
529667,-84.949557,29.676086,2.912470
531131,-95.675120,28.643418,14.244718
550824,-92.039781,29.556512,2.426425
567482,-96.478653,20.087805,80.445000
577374,-94.622649,28.932300,19.585236
595135,-82.603396,27.560628,-0.234515
597306,-82.137464,26.854873,3.832050
627518,-81.473561,26.460294,-9.855900
635296,-81.806946,26.432055,-4.310290
640913,-82.724445,27.565839,5.553130
641732,-82.025911,26.530309,-0.067637
651258,-82.063211,26.506203,2.620430
657771,-81.359056,26.068675,-3.068770
659608,-81.227931,32.558147,-8.497890
660717,-81.348368,26.012851,-2.465490
664779,-82.235682,26.702768,2.777470
676929,-81.064916,25.287344,1.734160
681551,-73.366509,40.908722,3.337620
686225,-80.973443,25.532369,-0.337938
689034,-86.278674,27.105375,3188.962000
690070,-73.930936,41.308789,-27.661900
691038,-81.810286,26.041095,7.071220
693473,-87.054307,15.801610,30.530000
703660,-81.064014,25.609961,-0.272833
714777,-83.429534,25.643685,64.900000
746392,-81.304503,28.786624,-12.414700
749300,-80.591862,25.542618,-1.990420
755954,-79.826661,33.386465,-7.905230
776022,-76.828220,36.576284,-10.863500
778957,-73.113334,41.105831,11.065000
782847,-77.895939,34.770758,-5.196300
785096,-84.490977,21.568506,3331.207000
794298,-81.741659,30.326578,-6.379230
837667,-80.901995,32.520960,-7.716330
852867,-79.249747,33.819897,-2.087620
862676,-81.244719,31.961928,-1.075670
862855,-81.241026,28.935450,-13.988600
862872,-81.278940,29.007058,-23.562400
869538,-75.215395,39.865871,13.394700
871499,-81.487474,29.273400,-5.841410
875835,-81.529062,29.344561,-9.529190
880314,-81.597197,29.884704,5.463760
901312,-79.167435,33.812211,-11.035900
901952,-76.487186,35.327890,4.265190
903609,-80.690147,27.633932,-7.333290
905497,-73.774366,40.880204,4.452140
913041,-81.031555,28.752672,-0.573466
916445,-76.724632,35.085651,-2.233080
919332,-79.848137,20.864664,3360.921000
921540,-76.328500,35.496729,-1.280550
938742,-80.726251,24.862525,-0.708620
940724,-75.251519,39.741354,-13.027800
946388,-79.959346,32.971937,-2.375330
956240,-76.295134,35.572117,-0.466717
967097,-76.656060,35.098743,-1.857600
968534,-81.595128,30.387774,1.280040
972172,-76.516474,35.223898,2.087660
996084,-73.437387,11.293727,35.604000
1022397,-76.716575,23.747775,1262.560000
1027454,-80.245085,25.963588,-1.460630
1034770,-68.789044,44.243763,32.917000
1036415,-80.360457,32.673261,-5.654470
1059798,-80.951660,32.068290,9.495260
1065238,-81.479825,31.164168,-2.764570
1073254,-80.187250,26.621779,-5.427670
1086675,-68.272741,44.429715,-53.874300
1116653,-74.125211,40.778249,-2.959880
1130049,-68.775098,44.158131,32.039000
1131223,-79.110258,33.662546,-4.692850
1133951,-77.184383,24.409153,10.316000
1137623,-78.194868,34.031459,-1.964650
1168020,-65.205016,18.083734,1143.193982
1168153,-62.523546,17.062819,111.178000
1175538,-67.422966,44.627304,-16.758900
1192301,-81.111052,29.320273,-7.161540
1192574,-81.411014,30.195912,-0.705432
1197429,-79.413944,33.146338,-5.821550
1199246,-81.399230,30.149753,-0.643838
1216689,-75.979792,35.515722,-0.411244
1223641,-79.872027,32.818158,-6.058560
1228476,-68.390685,44.177166,49.548000
1230563,-77.301019,34.692506,-3.950090
1232508,-80.613869,28.398269,-1.612640
1247519,-72.319696,41.010388,3.990430
1251373,-81.188440,29.575300,0.229472
1256595,-77.370352,34.673642,-0.355344
1280080,-68.323404,44.163442,25.709800
1280499,-70.099247,43.679629,7.275870
1293720,-76.544735,36.073829,-4.171570
1304742,-69.161941,43.880551,16.250700
1314231,-80.491638,28.047518,16.276944
1318433,-78.022056,33.942032,-7.761130
1333948,-75.580403,39.666785,-3.254490
1334665,-78.144622,33.930993,-6.273190
1335805,-81.318842,30.972546,8.685354
1341027,-80.400546,32.373433,4.677530
1341820,-80.516588,28.371817,13.076233
1358265,-74.600151,39.622377,-4.186230
1364725,-78.697909,33.791770,9.274530
1377382,-72.420170,40.909402,-14.314000
1378970,-79.255513,33.142326,-0.403444
1398752,-75.804986,35.553293,4.593850
1404095,-75.968436,35.778995,-0.160132
1409527,-80.768916,31.475322,19.169000
1417958,-55.481424,33.804055,5468.363770
1419458,-78.537308,33.786610,11.958500
1435736,-74.734289,39.432716,-2.086380
1453537,-69.965590,41.220510,15.866200
1460156,-75.833194,35.736995,-0.846258
1468077,-64.989305,23.128228,5647.111000
1479350,-76.308050,34.809898,16.346600
1485828,-77.085609,26.615996,2.441000
1507366,-75.634442,35.354645,8.800000
1512868,-64.163074,30.685876,4588.068000
1519125,-76.628533,34.551779,18.679994
1533090,-75.140183,38.714677,-7.687460
1534021,-75.885262,35.039592,22.852070
1539629,-76.149219,34.763999,26.775300
1546342,-76.275246,36.432732,-2.594290
1549728,-77.208651,37.286963,-4.776540
1557644,-73.560566,40.176530,38.082369
1561820,-75.266793,38.146458,2.107250
1563063,-69.760236,29.615191,5304.903000
1574653,-76.412109,36.513593,-5.070480
1579827,-75.448031,35.054018,34.826283
1583413,-75.421543,35.504967,17.732200
1601008,-75.106770,38.082477,12.548668
1620080,-76.044816,36.698917,-1.465500
1644889,-76.328541,36.869035,10.449900
1652755,-76.113915,39.127622,-5.654390
1658566,-76.230996,36.920626,-4.396670
1658661,-75.899580,37.030904,7.229705
1666282,-75.632823,38.606871,-5.123530
1670482,-76.461204,37.171753,-8.159840
1683205,-75.670745,38.366114,-9.124470
1691596,-75.986908,38.687539,-2.753400
1702683,-75.886713,38.522382,-4.876840
1705643,-75.743351,37.777436,-0.184592
1714798,-75.876728,38.352612,2.104820
1715061,-76.666768,38.596535,-6.601160
1716646,-75.848940,37.726482,2.854100
1726583,-76.194381,37.540252,9.842270
1741504,-76.081046,38.280342,-0.903050
1741540,-76.040318,38.136200,1.101200
1757141,-76.697714,38.231632,4.715040
1760239,-76.903628,38.306256,-0.677246
1763448,-77.199889,38.370433,-8.183740
1764156,-77.303129,38.479505,4.043570
1776789,-91.139458,30.281937,-8.024122
1798526,-92.774592,30.511809,-14.929821
